# Frequency, S11, S12, S21, S22
9.616060848678943515e+07,-6.117014042799999718e-01,-5.811705518600000175e+01,-5.835878491799999779e+01,-6.204655688000000335e-01
9.616461168935148418e+07,-6.146827529299999648e-01,-5.885330131799999975e+01,-5.912689732300000145e+01,-6.201413079099999948e-01
9.616861489191353321e+07,-6.137016066799999559e-01,-5.880016760800000242e+01,-5.942635208600000141e+01,-6.210991445200000349e-01
9.617261809447558224e+07,-6.129230407400000358e-01,-5.947406697600000314e+01,-5.931209097200000002e+01,-6.215096244800000225e-01
9.617662129703763127e+07,-6.143458071899999817e-01,-5.946308607299999949e+01,-6.026271168000000245e+01,-6.202551436700000087e-01
9.618062449959968030e+07,-6.141096730599999720e-01,-6.000889567299999783e+01,-5.991881452100000160e+01,-6.197677129999999979e-01
9.618462770216172934e+07,-6.132345628800000004e-01,-6.050113427099999797e+01,-6.061333097899999700e+01,-6.207656622099999577e-01
9.618863090472377837e+07,-6.130128070300000509e-01,-6.080070640499999968e+01,-6.089117772200000189e+01,-6.216841393599999988e-01
9.619263410728582740e+07,-6.151922474400000063e-01,-6.139533470399999970e+01,-6.174299986300000143e+01,-6.227311213699999737e-01
9.619663730984787643e+07,-6.143148444699999544e-01,-6.188764925600000311e+01,-6.147494515399999671e+01,-6.201418668799999478e-01
9.620064051240992546e+07,-6.138357750799999790e-01,-6.242205598500000008e+01,-6.206910376700000143e+01,-6.215419142400000485e-01
9.620464371497197449e+07,-6.152918215399999502e-01,-6.274252459000000215e+01,-6.303880497000000105e+01,-6.216600673200000093e-01
9.620864691753402352e+07,-6.156597285399999508e-01,-6.301106980699999838e+01,-6.311644010100000202e+01,-6.200891253100000444e-01
9.621265012009607255e+07,-6.152937252000000301e-01,-6.341634941699999928e+01,-6.430419375900000034e+01,-6.207518665200000285e-01
9.621665332265812159e+07,-6.148633349400000059e-01,-6.431491848599999628e+01,-6.520615706899999964e+01,-6.191656162199999924e-01
9.622065652522017062e+07,-6.157892448399999719e-01,-6.590563149300000134e+01,-6.457465687600000592e+01,-6.206934352199999783e-01
9.622465972778221965e+07,-6.136923561499999513e-01,-6.413125225599999624e+01,-6.517788424600000496e+01,-6.204185407500000249e-01
9.622866293034426868e+07,-6.160746409199999718e-01,-6.404030721799999526e+01,-6.385927927299999851e+01,-6.205522172799999847e-01
9.623266613290631771e+07,-6.149264480499999630e-01,-6.527460647200000210e+01,-6.498333487200000036e+01,-6.200305343799999980e-01
9.623666933546838164e+07,-6.160872322199999473e-01,-6.596392056000000537e+01,-6.449574942399999600e+01,-6.205497477000000428e-01
9.624067253803043067e+07,-6.147410164700000124e-01,-6.424403453600000091e+01,-6.349827176000000151e+01,-6.223846295299999554e-01
9.624467574059247971e+07,-6.141148922400000432e-01,-6.456187810400000160e+01,-6.304469507999999678e+01,-6.201305787999999986e-01
9.624867894315452874e+07,-6.144142923600000028e-01,-6.382773335200000275e+01,-6.387032935799999933e+01,-6.197401689000000546e-01
9.625268214571657777e+07,-6.135729397300000443e-01,-6.343622999600000156e+01,-6.412175779300000045e+01,-6.207016313300000032e-01
9.625668534827862680e+07,-6.140130295700000351e-01,-6.349835983199999845e+01,-6.384116934400000076e+01,-6.190355256399999728e-01
9.626068855084067583e+07,-6.120706861500000429e-01,-6.257705925700000194e+01,-6.357041358499999717e+01,-6.200063053200000063e-01
9.626469175340272486e+07,-6.123775924800000103e-01,-6.190721193499999941e+01,-6.224618531099999785e+01,-6.187294000499999891e-01
