# Frequency, S11, S12, S21, S22
9.611657325860688090e+07,-6.196919370900000335e-01,-6.503050512599999422e+01,-6.541519402699999830e+01,-6.159130501199999719e-01
9.612057646116892993e+07,-6.178783967600000038e-01,-6.581521781700000417e+01,-6.438005390200000022e+01,-6.179482712699999603e-01
9.612457966373097897e+07,-6.207260203800000209e-01,-6.434194277000000284e+01,-6.414702651700000047e+01,-6.175361221899999808e-01
9.612858286629302800e+07,-6.183860547799999718e-01,-6.493434703100000149e+01,-6.535300986299999693e+01,-6.185697343799999581e-01
9.613258606885507703e+07,-6.179471173899999670e-01,-6.473826825000000440e+01,-6.570834065399999702e+01,-6.176154925800000361e-01
9.613658927141714096e+07,-6.196338733499999751e-01,-6.482436186500000019e+01,-6.615043178899999532e+01,-6.194594068700000067e-01
9.614059247397918999e+07,-6.182629266200000417e-01,-6.514015660299999411e+01,-6.404316979899999751e+01,-6.179533536600000376e-01
9.614459567654123902e+07,-6.198674741599999871e-01,-6.462492351800000279e+01,-6.542721793299999433e+01,-6.191170157900000026e-01
9.614859887910328805e+07,-6.211015228299999746e-01,-6.568192462000000376e+01,-6.483324506200000314e+01,-6.184491396100000316e-01
9.615260208166533709e+07,-6.205927970900000368e-01,-6.437897567699999968e+01,-6.507680890999999690e+01,-6.195036006299999842e-01
9.615660528422738612e+07,-6.191134924300000231e-01,-6.453898603300000048e+01,-6.507305533599999592e+01,-6.195468016799999811e-01
9.616060848678943515e+07,-6.208348393899999484e-01,-6.533946987999999578e+01,-6.521006864199999598e+01,-6.191750820500000474e-01
9.616461168935148418e+07,-6.205023677200000032e-01,-6.501098695700000007e+01,-6.531515383500000382e+01,-6.203367621499999984e-01
9.616861489191353321e+07,-6.207859404500000178e-01,-6.634315702400000703e+01,-6.382222267099999868e+01,-6.194394614899999540e-01
9.617261809447558224e+07,-6.211860173500000082e-01,-6.455672287199999460e+01,-6.456248582499999600e+01,-6.190514816400000120e-01
9.617662129703763127e+07,-6.215651745200000411e-01,-6.462527303599999584e+01,-6.440751191100000028e+01,-6.206186517299999705e-01
9.618062449959968030e+07,-6.229358890699999707e-01,-6.535154562499999997e+01,-6.562033640900000364e+01,-6.205282717900000300e-01
9.618462770216172934e+07,-6.213107229100000017e-01,-6.630929258199999765e+01,-6.664150983499999370e+01,-6.202252768799999538e-01
9.618863090472377837e+07,-6.218336608600000259e-01,-6.516722519500000033e+01,-6.509416799000000253e+01,-6.204288167100000528e-01
9.619263410728582740e+07,-6.213404635599999448e-01,-6.658125040699999886e+01,-6.592691415400000210e+01,-6.217876201499999977e-01
9.619663730984787643e+07,-6.231069834700000420e-01,-6.479628588500000319e+01,-6.762373957799999857e+01,-6.191460871499999685e-01
9.620064051240992546e+07,-6.214694394199999916e-01,-6.514100305099999844e+01,-6.508777542699999685e+01,-6.210565070800000420e-01
9.620464371497197449e+07,-6.212734829999999597e-01,-6.506316484799999955e+01,-6.564635438300000203e+01,-6.218086026400000410e-01
9.620864691753402352e+07,-6.227229606899999936e-01,-6.538478424900000618e+01,-6.548324982500000147e+01,-6.207076506099999946e-01
9.621265012009607255e+07,-6.228515001500000148e-01,-6.576983531499999458e+01,-6.609008100600000546e+01,-6.220467366999999914e-01
9.621665332265812159e+07,-6.223847639099999718e-01,-6.498424960900000258e+01,-6.493889089799999681e+01,-6.216015073299999694e-01
9.622065652522017062e+07,-6.224404390200000137e-01,-6.603201048299999343e+01,-6.505815143899999953e+01,-6.217606557599999473e-01
9.622465972778221965e+07,-6.197342391600000333e-01,-6.406803274300000339e+01,-6.692202870900000278e+01,-6.207384439499999962e-01
9.622866293034426868e+07,-6.217841213800000544e-01,-6.576488489800000536e+01,-6.569645549800000595e+01,-6.200172535700000376e-01
9.623266613290631771e+07,-6.214146641500000179e-01,-6.574465872800000454e+01,-6.643218588300000249e+01,-6.212858529500000504e-01
9.623666933546838164e+07,-6.216525395399999931e-01,-6.590574205400000096e+01,-6.586144317299999784e+01,-6.219725461099999686e-01
9.624067253803043067e+07,-6.232624732099999454e-01,-6.628389290200000517e+01,-6.608628449399999738e+01,-6.209495114999999954e-01
9.624467574059247971e+07,-6.219906741799999805e-01,-6.512239076999999554e+01,-6.622467397299999448e+01,-6.214598950899999918e-01
9.624867894315452874e+07,-6.200100290400000214e-01,-6.497555333299999347e+01,-6.402726856300000691e+01,-6.207004228000000401e-01
9.625268214571657777e+07,-6.227588399800000341e-01,-6.505286411900000587e+01,-6.637316701000000307e+01,-6.208566584400000421e-01
9.625668534827862680e+07,-6.220701886999999708e-01,-6.496381272399999318e+01,-6.489694679500000518e+01,-6.192523834599999999e-01
9.626068855084067583e+07,-6.220902873200000460e-01,-6.496924181299999645e+01,-6.606438961700000334e+01,-6.169842671599999884e-01
9.626469175340272486e+07,-6.200366446299999668e-01,-6.568342403399999796e+01,-6.533684033100000477e+01,-6.191178231699999701e-01
